Wines,Points,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Navarro Vineyards Cluster Select Late Harvest Riesling,91,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Von Othegraven Kanzemer Altenberg Riesling Spatlese,90,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Weingut Josef Spreitzer '303' Oestricher Lenchen Riesling Spatlese,89,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Chateau Ste. Michelle Cold Creek Vineyard Riesling,87,2004,8.5,4.7,12.9,54.0,10.5,6.7,14.5,78.0,14.5,10.3,18.8,47.0,15.8,11.9,20.1,99.0,17.1,13.5,21.6,162.0,13.7,9.9,17.6,44.0
Egon Muller Scharzhofberger Riesling Kabinett,91,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Keller G-Max Riesling Trocken,93,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Egon Muller Scharzhofberger Riesling Spatlese,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,92,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Egon Muller Scharzhofberger Riesling Trockenbeerenauslese,97,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Egon Muller Scharzhofberger Riesling Auslese,96,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
F E Trimbach Riesling Cuvee Frederic Emile,93,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,93,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
F.X. Pichler 'Unendlich' Riesling Smaragd,95,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,95,2005,8.6,4.7,12.7,49.7,11.7,7.1,16.1,68.3,16.1,11.2,20.9,47.3,17.0,12.9,21.8,61.5,14.8,11.0,19.2,40.9,14.9,10.9,19.3,20.5
