Wines,Points,Year
Weingut Franz Hirtzberger Singerriedel Riesling Smaragd,94 ,2017 
Georg Breuer Rudesheimer Berg Schlossberg Riesling,93 ,2017 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Kabinett,92 ,2017 
Markus Molitor Zeltinger Sonnenuhr Riesling Auslese,96 ,2017 
Egon Muller 'Scharzhof' Riesling,90 ,2017 
Domaine Zind-Humbrecht Riesling Rangen de Thann Clos Saint Urbain,94 ,2017 
Chateau Ste. Michelle Riesling,87 ,2017 
F.X. Pichler Durnsteiner Kellerberg Riesling Smaragd,95 ,2017 
Grosset Polish Hill Riesling,93 ,2017 
Weingut Robert Weil Kiedricher Grafenberg Riesling Grosses Gewachs,94 ,2017 
F E Trimbach Riesling,89 ,2017 
Joh. Jos. Prum Graacher Himmelreich Riesling Kabinett,92 ,2017 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Spatlese,93 ,2017 
Georg Breuer Rauenthal Nonnenberg Riesling Trocken,93 ,2017 
Inniskillin Riesling Icewine,91 ,2017 
Domaine Weinbach Riesling Schlossberg Cuvee Sainte Catherine,94 ,2017 
Weingut Emrich-Schonleber Monzinger Halenberg Riesling Grosses Gewachs,93 ,2017 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,94 ,2017 
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,95 ,2017 
Pewsey Vale Dry Riesling,90 ,2017 
Weingut Donnhoff 'Felsenturmchen' Schlossbockelheimer Felsenberg Riesling Grosses Gewachs,92 ,2017 
Markus Molitor Wehlener Sonnenuhr Riesling Auslese,98 ,2017 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,95 ,2017 
Joh. Jos. Prum Graacher Himmelreich Riesling Spatlese,92 ,2017 
A. Christmann Konigsbacher Idig Riesling Grosses Gewachs,93 ,2017 
Egon Muller 'Le Gallais' Wiltinger Braune Kupp Riesling Spatlese,93 ,2017 
Weingut Donnhoff Oberhauser Leistenberg Riesling Kabinett,91 ,2017 
Dr. Loosen Wehlener Sonnenuhr Alte Reben Riesling Grosses Gewachs,92 ,2017 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,93 ,2017 
Schloss Vollrads Riesling,89 ,2017 
Weingut Robert Weil Riesling Trocken,88 ,2017 
Weingut Willi Schaefer Graacher Domprobst Riesling Spatlese 5,93 ,2017 
Chateau Ste. Michelle & Dr. Loosen 'Eroica' Riesling,90 ,2017 
Schloss Gobelsburg Heiligenstein Riesling Reserve Erste OTW Lage,94 ,2017 
Maximin Grunhauser Abtsberg Riesling Spatlese,92 ,2017 
Egon Muller Scharzhofberger Riesling Kabinett,92 ,2018 
Weingut Keller G-Max Riesling Trocken,96 ,2018 
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,95 ,2018 
Egon Muller Scharzhofberger Riesling Spatlese,94 ,2018 
