Wines,Points,Year
Chateau Lafite Rothschild 'Carruades de Lafite',89 ,2011 
Chateau Duhart-Milon,90 ,2011 
Chateau Troplong Mondot,92 ,2011 
Le Pin,93 ,2011 
Chateau La Fleur-Petrus,92 ,2011 
Domaine de Chevalier,92 ,2011 
Chateau La Conseillante,92 ,2011 
Chateau Lagrange,90 ,2011 
Baron Philippe de Rothschild Chateau d'Armailhac,90 ,2011 
Chateau Latour 'Les Forts de Latour',91 ,2011 
Chateau Brane-Cantenac,91 ,2011 
Chateau Cantemerle,88 ,2011 
Chateau Pontet-Canet,93 ,2012 
Chateau Lascombes,90 ,2012 
Chateau Clerc-Milon,91 ,2012 
Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,90 ,2012 
Chateau Faugeres,89 ,2012 
La Clarte de Haut-Brion Blanc,90 ,2012 
Donjon de Lamarque,88 ,2012 
Chateau La Peyreyre,0,2012 
Chateau Mouton Rothschild,93 ,2013 
Chateau Lafite Rothschild,92 ,2013 
Petrus,93 ,2013 
Chateau Margaux,93 ,2013 
Chateau Latour,93 ,2013 
Chateau Haut-Brion,93 ,2013 
Chateau d'Yquem,96 ,2013 
Chateau Pontet-Canet,92 ,2013 
Chateau Lynch-Bages,89 ,2013 
Chateau Cheval Blanc,92 ,2013 
Chateau Pichon Longueville Comtesse de Lalande,90 ,2013 
Chateau Cos d'Estournel,91 ,2013 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',92 ,2013 
Chateau Montrose,92 ,2013 
Chateau Palmer,91 ,2013 
Chateau Ducru-Beaucaillou,92 ,2013 
Chateau Leoville Poyferre,91 ,2013 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,91 ,2013 
Chateau La Mission Haut-Brion,92 ,2013 
Chateau Angelus,92 ,2013 
Chateau Leoville Barton,91 ,2013 
Chateau Figeac,92 ,2013 
Chateau Pavie,91 ,2013 
Chateau Talbot,89 ,2013 
Chateau Smith Haut Lafitte,90 ,2013 
Chateau Calon-Segur,91 ,2013 
Chateau Lafleur,92 ,2013 
Chateau Lascombes,89 ,2013 
Chateau Pape Clement,90 ,2013 
Chateau Ausone,92 ,2013 
Vieux Chateau Certan,91 ,2013 
Chateau Canon,90 ,2013 
Chateau Gruaud-Larose,89 ,2013 
Chateau Branaire-Ducru,89 ,2013 
Chateau Rauzan-Segla,90 ,2013 
Chateau Giscours,89 ,2013 
Chateau Beychevelle,90 ,2013 
Chateau Grand-Puy-Lacoste,89 ,2013 
Chateau Lafite Rothschild 'Carruades de Lafite',88 ,2013 
Chateau Duhart-Milon,88 ,2013 
Chateau Troplong Mondot,90 ,2013 
Chateau La Fleur-Petrus,91 ,2013 
Domaine de Chevalier,91 ,2013 
Chateau La Conseillante,91 ,2013 
Chateau Lagrange,88 ,2013 
Baron Philippe de Rothschild Chateau d'Armailhac,89 ,2013 
Chateau Latour 'Les Forts de Latour',90 ,2013 
Chateau Brane-Cantenac,89 ,2013 
Chateau Cantemerle,87 ,2013 
Chateau Clinet,90 ,2013 
Chateau Mouton Rothschild,96 ,2014 
Chateau Lafite Rothschild,95 ,2014 
Petrus,95 ,2014 
Chateau Margaux,95 ,2014 
Chateau Latour,96 ,2014 
Chateau Haut-Brion,95 ,2014 
Chateau d'Yquem,97 ,2014 
Chateau Pontet-Canet,95 ,2014 
Chateau Lynch-Bages,93 ,2014 
Chateau Cheval Blanc,95 ,2014 
Chateau Pichon Longueville Comtesse de Lalande,94 ,2014 
Chateau Cos d'Estournel,94 ,2014 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',95 ,2014 
Chateau Montrose,95 ,2014 
Chateau Palmer,94 ,2014 
Chateau Ducru-Beaucaillou,95 ,2014 
Chateau Leoville Poyferre,93 ,2014 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,2014 
Chateau La Mission Haut-Brion,94 ,2014 
Chateau Angelus,94 ,2014 
Chateau Leoville Barton,93 ,2014 
Chateau Figeac,94 ,2014 
Chateau Pavie,93 ,2014 
Chateau Talbot,91 ,2014 
Chateau Smith Haut Lafitte,93 ,2014 
Chateau Calon-Segur,94 ,2014 
Chateau Lafleur,95 ,2014 
Chateau Lascombes,90 ,2014 
Chateau Pape Clement,93 ,2014 
Chateau Ausone,95 ,2014 
Vieux Chateau Certan,95 ,2014 
Chateau Canon,92 ,2014 
Chateau Gruaud-Larose,92 ,2014 
Chateau Branaire-Ducru,91 ,2014 
Chateau Rauzan-Segla,92 ,2014 
Chateau Giscours,92 ,2014 
Chateau Beychevelle,92 ,2014 
Chateau Grand-Puy-Lacoste,93 ,2014 
Chateau Lafite Rothschild 'Carruades de Lafite',90 ,2014 
Chateau Duhart-Milon,91 ,2014 
Chateau Troplong Mondot,92 ,2014 
Le Pin,94 ,2014 
Chateau La Fleur-Petrus,93 ,2014 
Domaine de Chevalier,93 ,2014 
Chateau La Conseillante,93 ,2014 
Chateau Lagrange,91 ,2014 
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,2014 
Chateau Latour 'Les Forts de Latour',92 ,2014 
Chateau Brane-Cantenac,92 ,2014 
Chateau Cantemerle,89 ,2014 
Chateau Mouton Rothschild,96 ,2015 
Chateau Lafite Rothschild,96 ,2015 
Petrus,98 ,2015 
Chateau Margaux,98 ,2015 
Chateau Haut-Brion,97 ,2015 
Chateau d'Yquem,97 ,2015 
Chateau Pontet-Canet,95 ,2015 
Chateau Lynch-Bages,93 ,2015 
Chateau Cheval Blanc,97 ,2015 
Chateau Pichon Longueville Comtesse de Lalande,95 ,2015 
Chateau Cos d'Estournel,95 ,2015 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',96 ,2015 
Chateau Montrose,94 ,2015 
Chateau Palmer,96 ,2015 
Chateau Ducru-Beaucaillou,96 ,2015 
Chateau Leoville Poyferre,94 ,2015 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,95 ,2015 
Chateau La Mission Haut-Brion,96 ,2015 
Chateau Angelus,96 ,2015 
Chateau Leoville Barton,94 ,2015 
Chateau Figeac,96 ,2015 
Chateau Pavie,95 ,2015 
Chateau Talbot,91 ,2015 
Chateau Smith Haut Lafitte,95 ,2015 
Chateau Calon-Segur,93 ,2015 
Chateau Lafleur,97 ,2015 
Chateau Lascombes,92 ,2015 
Chateau Pape Clement,93 ,2015 
Chateau Ausone,97 ,2015 
Vieux Chateau Certan,96 ,2015 
Chateau Canon,96 ,2015 
Chateau Gruaud-Larose,93 ,2015 
Chateau Branaire-Ducru,92 ,2015 
Chateau Rauzan-Segla,95 ,2015 
Chateau Giscours,93 ,2015 
Chateau Beychevelle,93 ,2015 
Chateau Grand-Puy-Lacoste,93 ,2015 
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,2015 
Chateau Duhart-Milon,91 ,2015 
Chateau Troplong Mondot,93 ,2015 
Le Pin,96 ,2015 
Chateau La Fleur-Petrus,94 ,2015 
Domaine de Chevalier,94 ,2015 
Chateau La Conseillante,95 ,2015 
Chateau Lagrange,92 ,2015 
Baron Philippe de Rothschild Chateau d'Armailhac,92 ,2015 
Chateau Latour 'Les Forts de Latour',93 ,2015 
Chateau Brane-Cantenac,94 ,2015 
Chateau Cantemerle,90 ,2015 
Chateau Clinet,94 ,2015 
Chateau Mouton Rothschild,98 ,2016 
Chateau Lafite Rothschild,97 ,2016 
Petrus,98 ,2016 
Chateau Margaux,97 ,2016 
Chateau Haut-Brion,97 ,2016 
Chateau d'Yquem,96 ,2016 
Chateau Pontet-Canet,97 ,2016 
Chateau Lynch-Bages,95 ,2016 
Chateau Cheval Blanc,97 ,2016 
Chateau Pichon Longueville Comtesse de Lalande,97 ,2016 
Chateau Cos d'Estournel,96 ,2016 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',97 ,2016 
Chateau Montrose,97 ,2016 
Chateau Palmer,97 ,2016 
Chateau Ducru-Beaucaillou,96 ,2016 
Chateau Leoville Poyferre,95 ,2016 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 ,2016 
Chateau La Mission Haut-Brion,96 ,2016 
Chateau Angelus,97 ,2016 
Chateau Leoville Barton,95 ,2016 
Chateau Figeac,97 ,2016 
Chateau Pavie,96 ,2016 
Chateau Talbot,93 ,2016 
Chateau Smith Haut Lafitte,96 ,2016 
Chateau Calon-Segur,96 ,2016 
Chateau Lafleur,98 ,2016 
Chateau Lascombes,92 ,2016 
Chateau Pape Clement,94 ,2016 
Chateau Ausone,98 ,2016 
Vieux Chateau Certan,97 ,2016 
Chateau Canon,96 ,2016 
Chateau Gruaud-Larose,93 ,2016 
Chateau Branaire-Ducru,93 ,2016 
Chateau Rauzan-Segla,94 ,2016 
Chateau Giscours,93 ,2016 
Chateau Beychevelle,93 ,2016 
Chateau Grand-Puy-Lacoste,94 ,2016 
Chateau Lafite Rothschild 'Carruades de Lafite',92 ,2016 
Chateau Duhart-Milon,93 ,2016 
Chateau Troplong Mondot,94 ,2016 
Le Pin,97 ,2016 
Chateau La Fleur-Petrus,95 ,2016 
Domaine de Chevalier,95 ,2016 
Chateau La Conseillante,96 ,2016 
Baron Philippe de Rothschild Chateau d'Armailhac,92 ,2016 
Chateau Latour 'Les Forts de Latour',94 ,2016 
Chateau Brane-Cantenac,94 ,2016 
Chateau Cantemerle,91 ,2016 
Chateau Clinet,94 ,2016 
Chateau Haut-Bailly,96 ,2016 
Chateau Mouton Rothschild,95 ,2017 
Chateau Lafite Rothschild,95 ,2017 
Petrus,96 ,2017 
Chateau Margaux,95 ,2017 
Chateau Haut-Brion,95 ,2017 
Chateau d'Yquem,97 ,2017 
Chateau Pontet-Canet,94 ,2017 
Chateau Lynch-Bages,93 ,2017 
Chateau Cheval Blanc,95 ,2017 
Chateau Pichon Longueville Comtesse de Lalande,95 ,2017 
Chateau Cos d'Estournel,94 ,2017 
Chateau Leoville-Las Cases 'Grand Vin de Leoville',95 ,2017 
Chateau Montrose,94 ,2017 
Chateau Palmer,95 ,2017 
Chateau Ducru-Beaucaillou,95 ,2017 
Chateau Leoville Poyferre,94 ,2017 
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,2017 
